timestep,mean,median,mode
T927,42.6,43.0,46
T928,41.5,41.5,41
T929,40.1,39.0,39
T930,39.3,39.5,33
T931,42.75,43.5,45
T932,41.95,40.5,36
T933,38.5,38.0,41
T934,41.65,42.5,44
T935,39.45,38.5,44
T936,42.0,42.5,40
T937,39.7,39.5,41
T938,42.05,42.5,40
T939,43.65,44.0,44
T940,44.5,44.5,48
T941,44.55,45.0,45
T942,44.1,44.0,44
T943,44.65,43.0,43
T944,44.25,45.5,45
T945,47.45,47.0,47
T946,47.05,47.5,50
T947,48.8,48.5,45
T948,49.05,48.5,48
T949,49.7,48.5,48
T950,52.25,53.0,54
T951,52.25,53.0,53
T952,56.65,56.5,61
T953,56.9,57.0,60
T954,60.15,61.0,63
T955,58.8,58.5,58
T956,61.9,62.5,64
T957,62.7,63.0,63
T958,64.6,64.0,63
T959,66.0,66.5,64
T960,66.65,66.0,64
T961,111.4,105.0,71
T962,123.75,119.0,119
T963,133.2,128.0,172
T964,146.65,146.5,106
T965,158.2,156.0,211
T966,160.05,157.0,195
T967,163.65,169.0,197
T968,167.8,170.5,130
T969,172.35,178.0,270
T970,179.85,164.5,164
T971,187.9,193.5,199
T972,186.8,181.0,184
T973,185.8,184.5,183
T974,189.25,190.5,154
T975,190.0,202.0,221
T976,195.6,189.5,208
T977,206.45,191.5,190
T978,207.2,207.0,184
T979,212.2,207.0,216
T980,206.4,190.5,140
T981,209.55,211.0,150
T982,219.2,236.5,226
T983,217.15,216.5,228
T984,212.6,222.5,222
T985,212.3,206.5,202
T986,211.0,219.5,128
T987,200.05,197.0,242
T988,206.9,198.0,125
T989,204.5,205.5,158
T990,198.7,195.5,180
T991,190.9,175.5,116
T992,199.8,199.5,191
T993,199.95,187.5,133
T994,192.6,177.5,165
T995,186.75,176.0,162
T996,187.85,156.5,135
T997,49.9,49.0,45
T998,50.3,50.5,56
T999,49.15,49.0,46
T1000,48.2,47.5,47
T1001,47.1,47.0,50
T1002,47.85,47.5,42
T1003,43.3,44.0,44
T1004,45.2,45.5,48
T1005,41.5,41.5,41
T1006,43.7,42.5,41
T1007,43.0,43.0,41
T1008,40.45,42.0,43
T1009,42.15,41.5,39
T1010,41.95,42.0,42
T1011,43.05,43.0,43
T1012,42.5,42.5,40
T1013,42.0,42.0,44
T1014,43.55,43.0,41
T1015,41.25,39.0,39
T1016,41.6,41.0,41
T1017,41.1,40.5,37
T1018,39.0,38.5,39
T1019,41.15,41.0,41
T1020,41.2,41.5,43
T1021,40.2,41.5,44
T1022,40.3,42.0,45
T1023,39.8,41.0,41
T1024,39.55,40.0,36
T1025,39.85,40.5,44
T1026,39.45,41.0,41
T1027,40.65,41.0,37
T1028,40.0,40.0,42
T1029,40.55,41.0,44
T1030,40.95,42.0,42
T1031,41.15,42.5,43
T1032,40.75,41.5,44
T1033,39.4,38.5,37
T1034,43.35,43.0,43
T1035,42.35,41.5,39
T1036,41.85,42.5,45
T1037,40.5,40.0,39
T1038,41.55,42.0,42
T1039,39.6,40.0,35
T1040,41.0,43.0,44
T1041,39.05,39.0,37
T1042,40.55,39.0,38
T1043,42.3,42.0,39
T1044,41.35,43.0,43
T1045,43.75,43.0,45
T1046,42.8,44.0,44
T1047,44.25,44.0,41
T1048,43.75,43.5,40
T1049,42.85,43.0,43
T1050,42.55,42.5,43
T1051,45.85,45.0,43
T1052,46.85,48.5,50
T1053,47.2,47.0,54
T1054,48.3,48.5,47
T1055,49.85,49.5,56
T1056,51.1,50.0,53
T1057,50.45,52.0,47
T1058,51.2,52.5,50
T1059,52.65,53.0,53
T1060,54.25,54.0,54
T1061,57.15,57.0,56
T1062,58.85,59.0,61
T1063,56.95,56.5,59
T1064,60.9,61.5,61
T1065,63.85,64.5,60
T1066,65.25,65.0,65
T1067,66.65,66.0,62
T1068,67.05,67.5,65
T1069,176.2,154.5,154
T1070,179.7,170.0,170
T1071,184.2,167.5,169
T1072,183.7,177.5,190
T1073,176.45,156.0,166
T1074,180.55,164.5,161
T1075,182.55,162.5,186
T1076,185.75,165.5,133
T1077,188.45,172.5,123
T1078,185.05,169.5,188
T1079,187.85,160.0,159
T1080,189.05,178.0,198
T1081,191.35,154.5,151
T1082,192.7,187.0,191
T1083,188.4,183.5,174
T1084,190.25,156.5,221
T1085,195.0,167.5,194
T1086,195.8,177.0,181
T1087,196.05,183.5,192
T1088,196.8,192.5,199
T1089,193.1,155.5,152
T1090,183.7,175.5,178
T1091,185.5,151.0,141
T1092,197.55,170.0,177
T1093,196.35,164.5,162
T1094,197.05,169.0,161
T1095,201.95,165.5,142
T1096,198.0,155.0,155
T1097,195.4,161.5,162
T1098,201.8,173.5,173
T1099,192.0,175.5,184
T1100,191.25,145.0,143
T1101,192.8,160.0,173
T1102,186.0,141.5,139
T1103,180.95,147.0,176
T1104,173.9,138.0,151
T1105,52.3,52.0,52
T1106,50.25,49.5,47
T1107,49.35,49.0,55
T1108,47.05,46.5,45
T1109,47.1,47.0,47
T1110,44.95,45.5,46
T1111,44.05,44.5,49
T1112,45.85,45.0,45
T1113,45.45,44.5,43
T1114,43.75,43.0,43
T1115,42.6,43.0,45
T1116,41.0,41.0,43
T1117,44.0,44.0,42
T1118,42.65,42.5,38
T1119,41.55,41.0,41
T1120,41.25,41.0,43
T1121,40.85,42.0,38
T1122,41.8,42.0,42
T1123,41.6,42.5,43
T1124,40.8,41.0,44
T1125,39.9,37.5,37
T1126,41.65,41.0,38
T1127,42.15,43.0,39
T1128,42.65,42.5,41
T1129,40.7,41.0,45
T1130,39.2,38.5,40
T1131,39.75,39.0,43
T1132,39.6,39.5,37
T1133,41.9,42.0,45
T1134,39.6,40.0,35
T1135,40.75,41.0,42
T1136,40.8,41.0,41
T1137,40.85,40.5,40
T1138,42.75,42.5,32
T1139,40.05,39.5,38
T1140,39.5,40.0,38
